"Id";"Code Barre";"Type de pièce";"Marque";"Référence constructeur";"Code absolu darty/ SDS";"Modèle ou chassis";"Etat actuel de la pièce";"Localisation";"Commentaire"
236;"0003632146";"15";"18";"806890943";"4310364";;"Non contrôlée";"Zone 2 C08";
205;"0003637370";"79";"8";"481010805206";"3374409";"DOMINO";"Non contrôlée";"Zone 2 C07";"Domino"
127;"0003641580";"103";"3";"1250125034";"0011805";"HPF";"Neuve";"Zone 2 C02";
232;"0003642192";"91";"3";"8078222315";"2153517";"EWT 1260ES";"Non contrôlée";"Zone 2 C08";"Rico l'a arrosé"
48;"0003646614";"93";"8";"C00505313";"3474662";"DEA701";"Neuve";"Zone 2 C03";
262;"0003649511";"93";"13";"AS0024148";"0427351";"DOP1140X";"HS";"Zone 2 A01";"Relais HS"
396;"0003668201";"91";"3";"140011633827";"3376358";"NC";"Non contrôlée";"Zone 2 D07";
330;"0003669712";"93";"6";"DC9406917A";"3457393";"WW4500K";"Non contrôlée";"Zone 2 B03";
91;"0003674345";"102";"2";"00611322";"0291164";"GV640";"Neuve";"Zone 2 C05";
386;"0003684290";"41";"8";"481010582139";"2451471";"NC";"Non contrôlée";"Zone 2 D03";"Prix conseillé aswo 175,36"
29;"0003689513";"94";"40";"34030168";"3424709";"NC";"Non contrôlée";"Zone 2 C03";
457;"0003697341";"93";"48";"LS28-12";"0424647";;"Non contrôlée";"Zone 2 C02";"Cave à vin peltier. Module + radiateur + condenseur dans même caisse."
57;"0003699718";"93";"3";"1328407182";"0474264";"FWH7145P";"Non contrôlée";"Zone 2 C01";
244;"0003701750";"112";"40";"34060039";"3317189";;"Non contrôlée";"Zone 2 C08";
56;"0003707821";"94";"42";"0071800038A";"3598774";"NC";"Non contrôlée";"Zone 2 C01";"cave à vin haier"
469;"0003710592";"5";"6";"BN94-14187D";"4717581";;"Non contrôlée";"Zone 2 B02";"Prix conseillé aswo 251,64"
119;"0003711791";"16";"6";"DG4700010A";"0367603";"OPTIFLEX";"Non contrôlée";"Zone 2 C02";
132;"0003713305";"51";"3";"2426484230";"0573773";"HPF";"Neuve";"Zone 2 C02";"fusible + sonde degivrage"
36;"0003715288";"93";"40";"34050016";"556593";"SIEDPAR";"Non contrôlée";"Zone 2 C03";
459;"0003716620";"123";"48";"LS28-1";"3428274";;"Non contrôlée";"Zone 2 C02";"Cave à vin peltier. Module + radiateur + condenseur dans même caisse."
235;"0003717390";"112";"40";"34060039";"3317189";;"Non contrôlée";"Zone 2 C08";
73;"0003719824";"93";"6";"DA92-00853Q";"3610143";"RR7000N";"Non contrôlée";"Zone 2 C01";"Congel samsung s'allume plus"
400;"0003723762";"73";"6";"DA62-04151B";"3480690";"NC";"Neuve";"Zone 2 D07";"Joint mousse évapo. Prix conseillé aswo 3,19"
206;"0003724328";"111";"23";"C00382304";"4280152";;"Contrôlée OK";"Zone 2 C07";"Ref A l'air neuve"
207;"0003731927";"79";"8";"C00505636";"3423427";"ATLANTIC";"HS";"Zone 2 C07";"Ne démarre pas, plante à 15min. Electronique OK mais soft planté"
69;"0003732607";"91";"8";"481010621590";"3312513";"NC";"Non contrôlée";"Zone 2 C01";
43;"0003732860";"93";"8";"481223678548";"0232827";"ARC4178";"HS";"Zone 2 C03";"Fonctionne mais relais vibre"
458;"0003733266";"122";"48";"LS28-21";"0700962";;"Non contrôlée";"Zone 2 C02";"Cave à vin peltier. Module + radiateur + condenseur dans même caisse."
55;"0003740325";"94";"43";"106030021";"3308158";"NC";"Non contrôlée";"Zone 2 C03";
208;"0003747784";"79";"2";"11024418";"3668586";"FOUR 3D";"Contrôlée OK";"Zone 2 C05";
209;"0003752096";"73";"2";"12005744";"2444022";"GV640";"Neuve";"Zone 2 C05";
63;"0003755800";"79";"42";"49112204";"4619841";"NC";"Non contrôlée";"Zone 2 C01";"Four rosieres"
210;"0003757334";"79";"8";"481010528357";"1799812";"ATLANTIC";"Non contrôlée";"Zone 2 C07";
247;"0003759126";"94";"13";"72X8268";"0262236";"SOP1501B";"Contrôlée OK";"Zone 2 A01";"Nappe légèrement coupée mais fonctionne"
454;"0003760348";"93";"8";"481011085521";"2259102";"AKZ";"HS";"Zone 2 D02";"Ne s'allume pas. Prix conseillé aswo 166,13"
211;"0003762505";"6";"27";"6127623";"0382734";"PW 5062";"Neuve";"Zone 2 C04";"Ref de remplacement : 11721600"
38;"0003771785";"94";"40";"3401063";"3771785";"TW814";"Non contrôlée";"Zone 2 C03";
404;"0003771797";"111";"40";"34010639";"3314626";"TW814";"Non contrôlée";"Zone 2 D07";
239;"0003772057";"89";"23";"094715";"0025168";;"Non contrôlée";"Zone 2 C08";
237;"0003774528";"112";"40";"34060039";"3317189";;"Non contrôlée";"Zone 2 C08";"Sonde HS"
234;"0003775107";"37";"3";"1320822313";"0145382";"AWF1225";"Neuve";"Zone 2 C08";
332;"0003783393";"93";"15";"34010713";"3382859";"THWD16107";"Non contrôlée";"Zone 2 B03";
129;"0003787277";"106";"4";"EAM60991309";"3457253";"F14952WHS";"Neuve";"Zone 2 C02";"sortie le 20/09/2025 dossier lachatere"
229;"0003790252";"38";"2";"10006917";"0265455";"NC";"Non contrôlée";"Zone 2 C08";
478;"0003806712";"16";"1";"5906950800";"3589939";;"Non contrôlée";"Zone 2 B02";"Prix conseillé aswo 39,91"
238;"0003809782";"112";"40";"34060039";"3317189";;"Non contrôlée";"Zone 2 C08";
212;"0003813849";"6";"2";"00631200";"2104350";"GV640";"Neuve";"Zone 2 C05";
213;"0003820722";"79";"23";"C00519655";"3589607";"WINDY";"Contrôlée OK";"Zone 2 C07";
142;"0003825079";"111";"6";"DC92-01783G";"4106034";"NC";"HS";"Zone 2 C08";
214;"0003830591";"91";"8";"481010438414";"0380180";;"Contrôlée OK";"Zone 2 C07";"F13 pas de vérouillage, module domino"
215;"0003835914";"79";"23";"C00382291";"3429163";;"Non contrôlée";"Zone 2 C07";"Réf"
216;"0003839049";"80";"2";"00656861";"0355736";"GV640";"Neuve";"Zone 2 C05";
289;"0003851731";"93";"46";"0061800067A";"0563767";"BH02H2E1Q00 - BH03D0E8G00";"Non contrôlée";"Zone 2 A02";"Modèle HRF"
250;"0003860009";"38";"13";"098.725";"0195811";"SOP";"HS";"Zone 2 A01";"Connecteur vers carte flashé"
217;"0003860841";"80";"8";"481011090221";"3588191";"Domino";"Non contrôlée";"Zone 2 C07";"Se met sur pause"
387;"0003861647";"11";"40";"34420038";"1098785";"NC";"Non contrôlée";"Zone 2 D03";
218;"0003862620";"79";"8";"C00519655";"3589607";"WIND";"Non contrôlée";"Zone 2 C07";"Puissance windy clé indesit"
219;"0003864963";"79";"34";"11018067";"3425607";"WM14N120";"HS";"Zone 2 C05";"Ne vérouille pas"
418;"0003871488";"94";"46";"41041466";"0399525";"NC";"Non contrôlée";"Zone 2 D07";
470;"0003872243";"5";"6";"BN94-15352T";"4798016";;"Non contrôlée";"Zone 2 B02";"Prix conseillé aswo 167,48"
220;"0003875927";"46";"11";"9590206";"0055523";"AGG600PI";"Neuve";"Zone 2 C04";"Kit sonde + connecteur"
270;"0003875937";"46";"11";"9590206";"0055523";"AGG600PI";"Neuve";"Zone 2 C04";"Kit sonde"
333;"0003882057";"111";"15";"34010639";"3314626";"TW814EU";"Non contrôlée";"Zone 2 B03";
89;"0003882695";"95";"42";"0017160";"0017160";"CH1264001";"Neuve";"Zone 2 C06";
323;"0003899076";"41";"4";"EAU61644301";"2221435";;"Neuve";"Zone 2 B01";"Moteur DC Clapet américain LG"
249;"0003901072";"93";"13";"AS0066732";"4105916";;"HS";"Zone 2 A01";"connecteur verrou hs sur carte"
233;"0003903290";"22";"8";"C00256973";"0366214";"NC";"Neuve";"Zone 2 C08";"Mlv durite pc resistance"
128;"0003903298";"105";"8";"C00480996";"3425313";;"Neuve";"Zone 2 C02";
143;"0003904362";"93";"6";"DA92600735L";"3161694";;"Non contrôlée";"Zone 2 C08";"Cgréf  Symptôme : pas d'alim compresseur"
222;"0003904427";"80";"23";"C00387328";"3457002";;"Non contrôlée";"Zone 2 C07";"Réf"
100;"0003910320";"41";"3";"8072524021";"0552139";"91609747509-91609824600";"Neuve";"Zone 2 C06";
104;"0003911417";"94";"2";"11002897";"0291536";"GV640";"Non contrôlée";"Zone 2 A05";"a l'air neuf sauf si stephane le defonce"
67;"0003919071";"93";"6";"DD92-00059C";"4239923";"NC";"Non contrôlée";"Zone 2 C01";
223;"0003924118";"91";"23";"C00306159";"2580586";"WIND";"Contrôlée OK";"Zone 2 C07";
258;"0003925858";"93";"13";"AS0043798";"3425754";"SOP4329XT1";"Contrôlée OK";"Zone 2 A01";"Ne chauffe plus suite reset elec, refonctionne 3 mois"
231;"0003945145";"103";"3";"1250125034";"0011805";"ZEPHIR";"Non contrôlée";"Zone 2 C08";"AZB"
87;"0003961875";"26";"2";"00656033";"0740889";"3SB088BP/01- WTYH8789SN/09";"Neuve";"Zone 2 C06";"Filtre à peluche"
224;"0003967208";"80";"27";"9462497";"4616975";"H6166E";"Neuve";"Zone 2 C04";"EPZ7660"
421;"0003967291";"93";"2";"11003025";"2110053";;"Non contrôlée";"Zone 2 D05";
292;"0004047951";"96";"6";"DC9201378A";"3433286";"WD80M4B53JW";"Non contrôlée";"Zone 2 A02";
430;"0005680683";"94";"3";"8076952525";"3428588";"NC";"Non contrôlée";"Zone 2 D05";
278;"0005717541";"16";"8";"481010754803";"3318914";"850526911000 - 850527011420";"Non contrôlée";"Zone 2 A01";
360;"0005746566";"91";"3";"140046374074";"3478913";"NC";"Non contrôlée";"Zone 2 D01";"Probablement OK TCV"
281;"0005747237";"91";"8";"481010782778";"3377171";"856010142050 - 859991548350";"Non contrôlée";"Zone 2 A01";
34;"0005751210";"11";"27";"10397276";"4617048";"G1244 - G6998";"Neuve";"Zone 2 C04";"Se monte sur les châssis de G1244 jusqu'à G6998"
285;"0005752986";"94";"1";"167100096";"4125243";"7738987658 - 7757188650";"Non contrôlée";"Zone 2 A01";
425;"0005762350";"93";"2";"00657048";"0480979";;"Non contrôlée";"Zone 2 D05";"Prix conseillé 158,30."
288;"0005774540";"80";"8";"481010759445";"3331353";"857500118050 - 859991548350";"Non contrôlée";"Zone 2 A02";
95;"0005785233";"38";"6";"DC3400026A";"1952700";"WD80J5430AWEF";"Non contrôlée";"Zone 2 C06";
461;"0005793953";"111";"6";"DC94-06788A";"3424802";;"Non contrôlée";"Zone 2 B03";"Prix conseillé aswo 146,04"
290;"0005798759";"93";"8";"C00519655";"3589607";"24886950639 - 61587760000";"Non contrôlée";"Zone 2 A02";"Module WINDY"
225;"0005804508";"11";"27";"10397276";"4617048";"G1244 - G6998";"Non contrôlée";"Zone 2 C04";"Se monte sur chassis G1244 jusqu'au G6998"
411;"0005818615";"99";"2";"00146123";"0613008";"NC";"Non contrôlée";"Zone 2 D02";"A nettoyer. Prix conseillé aswo 81,08"
442;"0005872094";"93";"8";"C00382304";"4280152";"NC";"Non contrôlée";"Zone 2 D08";"CGREF. Prix conseillé aswo 145,99"
284;"0005876797";"111";"1";"1739170411";"4136748";"7617851642";"Non contrôlée";"Zone 2 A01";
291;"0005901028";"93";"46";"49045938";"4106073";"BB0A10E1G00 - BJ0VW1E6500";"Non contrôlée";"Zone 2 A02";"Modèle HRD"
367;"0005904536";"92";"3";"8076952525";"3428588";"NC";"Non contrôlée";"Zone 2 D01";
403;"0005923614";"79";"8";"481010744400";"3330881";"NC";"Non contrôlée";"Zone 2 D07";"Prix onseillé aswo 204,20"
429;"0005926445";"111";"1";"1739180070";"3329097";;"Non contrôlée";"Zone 2 D05";"probleme lié a la data de la pompe bpm 2 carte en stoc alimente bien la pompe en 230v ac mais ne demarre pas car pas de gestion de la data sur les cartes voir dossier chat gpt"
324;"0005939143";"119";"1";"4640540100";"3589698";"7519710005";"Neuve";"Zone 2 B01";
447;"0005967923";"106";"8";"C00299613";"0573632";"NC";"Non contrôlée";"Zone 2 D08";"Prix conseillé aswo 119,29"
298;"0005967983";"93";"8";"C00299619";"2133301";"25824680000 - 769991631501";"Non contrôlée";"Zone 2 A02";
308;"0006029045";"103";"8";"480112101592";;"854020038020 - 85759886010";"Neuve";"Zone 2 A02";
441;"0006045588";"79";"3";"8091089485";"5052802";"NC";"Non contrôlée";"Zone 2 D08";"Prix aswo conseillé 133,56 mle"
328;"0006051867";"94";"6";"DC9406481A";"4529426";"WW5500K";"Non contrôlée";"Zone 2 B01";
309;"0006063254";"94";"2";"11037429";"5042727";"SE23EI60KT/01 - SN45ZW70CS/17";"Non contrôlée";"Zone 2 B01";
303;"0006080257";"66";"13";"79X8317";"0192164";"3CMI-4GLS20 - STG826BF12";"Non contrôlée";"Zone 2 A02";"Chaine d'interrupteur"
302;"0006085979";"20";"3";"4055129516";"4940145";"91310220200 - 91321750300";"Non contrôlée";"Zone 2 A02";
282;"0006111457";"111";"1";"1739170260";"4136740";"7607857342 - 7644657342";"Non contrôlée";"Zone 2 A01";
279;"0006113885";"111";"8";"481011090224";"4427485";"759991531702 - 759991637394";"Non contrôlée";"Zone 2 A01";"Déjà programmée"
437;"0006129781";"93";"2";"11029061";"4106184";"NC";"Non contrôlée";"Zone 2 D08";"Prix conseillé aswo 160,78"
434;"0006130501";"93";"8";"C00384515";"2168172";"NC";"Non contrôlée";"Zone 2 D08";"Prix conseillé aswo 217,02"
444;"0006132289";"120";"2";"11033538";"4839189";"NC";"Neuve";"Zone 2 D08";
306;"0006143362";"29";"4";"EAU3503706";"4838937";;"Non contrôlée";"Zone 2 A02";
449;"0006147110";"3";"27";"09976604";"2258878";"NC";"Neuve";"Zone 2 D08";"Débimètre e-dose. Prix conseillé aswo 156,14"
433;"0006151694";"79";"2";"11029061";"4106184NC";"NC";"Non contrôlée";"Zone 2 D08";"Prix conseillé aswo 160,78"
287;"0006152492";"80";"2";"11017585";"3307511";"B15CRN0/35 - C25CR22N0/43";"Non contrôlée";"Zone 2 A02";
283;"0006154215";"117";"27";"10781471";"4579156";"WCD660-WWV980";"Non contrôlée";"Zone 2 A01";
280;"0006159640";"95";"6";"DE9600994A";"0514732";"NV75K5571RS";"Non contrôlée";"Zone 2 A01";"Four/cuisinière. Selecteur de programme côté gauche"
435;"0006220005";"93";"8";"C00500160";"3586051";"NC";"Non contrôlée";"Zone 2 D08";"DEA701. Prix conseillé aswo 213,40"
79;"0012200";"93";"3";"1526437205";"0012200";"91188806500-91188806901";"Non contrôlée";"Zone 2 C06";"ASF2643A"
108;"0015556";"14";"46";"41020672";"0015556";"TRI4V";"Neuve";"Zone 2 C02";
96;"0016882";"73";"23";"C00081579";"0016882";"03254950000-79300710000";"Neuve";"Zone 2 C06";
226;"0019222";"79";"8";"481221478843";"0019222";"DOLPHIN";"Non contrôlée";"Zone 2 C07";
140;"0019538";"57";"8";"481240448746";"1145046";"ADP9626";"Neuve";"Zone 2 C02";
327;"00209974470013";"93";"6";"DC9407385A";;"WW5000J";"Non contrôlée";"Zone 2 B01";
58;"0021356";"93";"23";"4603106884";"0021356";"TS400";"Non contrôlée";"Zone 2 C01";
241;"0021605";"112";"13";"57X0058";"0021605";"ETE";"Non contrôlée";"Zone 2 C08";
117;"0021664";"103";"8";"481235818055";"0021664";"AWZ";"Neuve";"Zone 2 C02";
227;"0021686";"25";"2";"298594";"0021686";"GV640";"Neuve";"Zone 2 C05";
120;"0021710";"46";"8";"481228268051";"0021710";"ATLANTIC";"Non contrôlée";"Zone 2 C02";
228;"0021808";"98";"2";"174730";"0021808";"SGS";"Neuve";"Zone 2 C05";
390;"0021823";"11";"27";"4998107";;"G668SC";"HS";"Zone 2 D03";
116;"0021882";"38";"8";"00225146";"0021882";"AWM209";"Non contrôlée";"Zone 2 C02";"2 pieces identiques dans même sachet"
84;"0022042";"6";"8";"481246018474";"0022042";"856100429480-858495629010";"Contrôlée OK";"Zone 2 C06";"pompe + corps ok"
245;"0022122";"89";"8";"481225928703";"1036971";"AWA903";"Neuve";"Zone 2 C08";
319;"0024349";"57";"8";"C0090360";"1093274";"55219100000 - 55277970100";"Neuve";"Zone 2 B01";"Réf pièce entrée dans la base est la réf de remplacement. Réf des pièces dans le stock C00138945"
362;"0026755";"94";"2";"00267551";"NC";"NC";"Non contrôlée";"Zone 2 D02";"Potentiellement défectueux"
171;"0031543";"101";"2";"183955";"0031543";"GV640";"Neuve";"Zone 2 C05";"Roulette inférieure"
122;"0047800";"46";"23";"C00098739";"0047800";"AMD145";"Neuve";"Zone 2 C02";
172;"0048230";"11";"2";"267741";"0048230";"SGS";"Neuve";"Zone 2 C05";"Pompe de cyclage sgs ancien"
93;"0059771";"72";"8";"481246668837";"1105493";"851385101080-857599972551";"Neuve";"Zone 2 C06";"feutre arriere"
138;"0061147";"114";"2";"00611473";"0275986";"GV640";"Neuve";"Zone 2 C02";"SMS"
173;"0061639";"53";"2";"00616395";;"GV640";"Neuve";"Zone 2 C05";
174;"0063119";"8";"2";"00631199";"2104349";"GV640";"Neuve";"Zone 2 C05";"Vanne d'évacuation plus en stoc en commande"
175;"0064499";"23";"2";"00644996";"0284195";"GV640";"Neuve";"Zone 2 C05";
363;"0070142";"93";"2";"00701425";"NC";"NC";"Non contrôlée";"Zone 2 D02";
176;"0073434";"51";"11";"01936130005";"1325370";"NC";"Neuve";"Zone 2 C04";"Kit limiteur température (froid)"
86;"0080180";"12";"3";"50277796004";"0080180";"91101600500-91197602100";"Neuve";"Zone 2 C06";
177;"0082683";"73";"2";"491638";"0082683";"HBT554";"Non contrôlée";"Zone 2 C05";"Jonction du joint détaché"
121;"0138657";"46";"42";"49005297";"1136788";;"Neuve";"Zone 2 C02";"Lave linge sechant Hoover"
178;"0157665";"96";"8";"481221479871";"0157655";"DREAM SPACE";"Non contrôlée";"Zone 2 C07";"Platine cum. A l'air neuve"
399;"0182275";"22";"13";"32X3307";"4239143";"NC";"Neuve";"Zone 2 D07";"Durite pc/corps pompe. Prix conseillé aswo 25,97"
251;"0185202";"93";"13";"57X2562";"0185202";"ETE";"Non contrôlée";"Zone 2 A01";"Symtpôme :  ne chauffe plus le linge"
54;"0205253";"94";"13";"72X5995";"1430597";"8FP610WF1";"Non contrôlée";"Zone 2 C03";"Neuve"
179;"0214807";"100";"2";"1203444";"0214807";;"Neuve";"Zone 2 C05";"Lave linge omega"
257;"0216411";"94";"13";"72X4474";"0216411";"DCV768X";"Non contrôlée";"Zone 2 A01";
462;"0217024";"83";"3";"8996600143284";"3355661";;"Neuve";"Zone 2 B03";"N'est plus dispo sur aswo"
180;"0223469";"23";"8";"481228128469";"0223469";"DOLPHIN";"Contrôlée OK";"Zone 2 C07";"Mlv A l'air neuve"
68;"0238264";"93";"23";"4903032084";"0238264";"AVXXF137FREVOII";"Contrôlée OK";"Zone 2 C01";"carte + eprom"
37;"0248136";"93";"13";"72X7234";"0248136";"SFP";"HS";"Zone 2 C03";"Relais HS"
59;"0248323";"93";"23";"C00258772";"0248323";"Froid";"Non contrôlée";"Zone 2 C01";
301;"0255945";"118";"43";"251505";;;"Non contrôlée";"Zone 2 A02";"Voyant vert : quantité 2"
389;"0266788";"11";"27";"10116771";"0266788";"NC";"Neuve";"Zone 2 D03";
370;"0272972";"106";"2";"00498391";"0272972";"EPK56074";"Neuve";"Zone 2 D02";"Prix conseillé aswo 106,16"
252;"0282587";"94";"13";"32X4154";"1371290";"HERACLES";"HS";"Zone 2 A01";"DFH825C"
260;"0301301";"93";"13";"32X4209";"0301301";"HERAKLES";"Non contrôlée";"Zone 2 A01";
277;"0302666";"93";"3";"973911925346018";"0302666";"91192534601";"Non contrôlée";"Zone 2 C06";"mlv"
181;"0308926";"79";"2";"00656659";"0308926";"NC";"Contrôlée OK";"Zone 2 C05";"Vérifié Stéphane"
276;"031";"12";"13";"DE94-02317E";;"MG23F301EFSEF";"Non contrôlée";"Zone 2 C06";"Micro-onde"
182;"0316287";"57";"2";"623536";"0316287";"GV640";"Neuve";"Zone 2 C05";
440;"0365105";"112";"27";"7095282";"60735565";"NC";"Non contrôlée";"Zone 2 D08";
183;"0370161";"79";"27";"07851882";"9172854";"W5722";"Non contrôlée";"Zone 2 C04";
184;"0375663";"38";"2";"00652510";"0375623";"GV640";"Neuve";"Zone 2 C05";"Sécurité enfant lave vaisselle"
310;"0380180";"91";"8";"481010438414";"1364464";"759322184015 - 859399929035";"Non contrôlée";"Zone 2 B01";
130;"0392388";"9";"8";"481010646762";"1382853";"Atantic";"Neuve";"Zone 2 C02";"Ils pot à sel"
256;"0427351";"93";"13";"AS0024148";"1430798";"DOP1140X";"Non contrôlée";"Zone 2 A01";
384;"0432194";"46";"3";"4055108395";"NC";"NC";"Non contrôlée";"Zone 2 D01";
254;"0432496";"93";"13";"AS6009297";"0432496";"HERAKLES";"HS";"Zone 2 A01";
185;"0470036";"79";"2";"00656768";"0470036";"HB";"Contrôlée OK";"Zone 2 C05";"Vérifié Stéphane OK Pas module de puissance mais module réseau four bosch"
123;"0476027";"16";"8";"482000020559";"0476027";"AKZ";"Neuve";"Zone 2 C02";
383;"0476490";"46";"3";"50298477006";"0476490";"NC";"Non contrôlée";"Zone 2 D01";
